chicago,http://chicago.craigslist.org/chc/sys/2147007747.html,MacBook Pro 15 inch -,1500,15,2.8,4,500,1810.868,310.868
chicago,http://chicago.craigslist.org/chc/sys/2146140260.html,Unibody Macbook / Pro 2.4 GHz  -,800,10,2.4,2,256,925.014,125.014
chicago,http://chicago.craigslist.org/nch/sys/2145904787.html,Macbook Pro 15' -,800,10,2.4,4,200,914.534,114.534
chicago,http://chicago.craigslist.org/chc/sys/2144957406.html,"Apple Macbook Pro 15"" 3.06Ghz 256GB SSD 8GB Applecare -",800,15,3.06,8,256,2045.5926,1245.5926
chicago,http://chicago.craigslist.org/chc/sys/2144869990.html,"Apple MacBook Pro, 17"" 2GB 2.16GHZ Intel Core Duo -",800,17,2.16,2,100,970.8336,170.8336
chicago,http://chicago.craigslist.org/chc/sys/2141389270.html,17' Macbook Pro -,800,17,2.33,2,250,1239.6243,439.6243
chicago,http://chicago.craigslist.org/sox/sys/2141000948.html,Macbook Pro 2.4 GHz Core 2 Duo (Non-Unibody) -,850,15,2.4,0,500,1302.984,452.984
chicago,http://chicago.craigslist.org/chc/ele/2140092285.html,2009 MacBook Pro Unibody Laptop (Apple) -,1150,15,2.53,2,300,1386.8063,236.8063
chicago,http://chicago.craigslist.org/chc/sys/2139808739.html,"17"" Macbook Pro for the Media Lover -",1199,17,2.4,2,200,1302.244,103.244
chicago,http://chicago.craigslist.org/chc/sys/2139795701.html,"15"" MacBook Pro -",899,15,2.4,2,200,1187.584,288.584
dallas,http://dallas.craigslist.org/dal/sys/2147880392.html,17 in Macbook Pro 2.5ghz 4gb ram 250gb hd -,1100,16,2.5,4,250,1400.185,300.185
dallas,http://dallas.craigslist.org/ndf/sys/2146521769.html,Apple MacBook Pro 17 -,1175,17,2.4,2,320,1353.844,178.844
dallas,http://dallas.craigslist.org/dal/sys/2139017366.html,"MacBook White, MacBook Air, &amp; MacBook Pro Brand New -",950,13,2.4,4,250,1108.024,158.024
dallas,http://dallas.craigslist.org/dal/sys/2136627858.html,MacbooK PRO*MODEL 2010*UNDER GARRANTY UNTIL JULY 2011*2.4GHZ*250GB HDD -,950,13,2.4,4,250,1108.024,158.024
dallas,http://dallas.craigslist.org/mdf/sys/2126262050.html,Apple MacBook Pro 17 Inch 2.4 GHz - with WARRANTY -,1200,18,2.4,2,160,1342.374,142.374
dallas,http://dallas.craigslist.org/mdf/sys/2122779198.html,Apple MacBook Pro 17 Unibody Brand New -,995,17,2.66,4,500,1757.2886,762.2886
dallas,http://dallas.craigslist.org/dal/sys/2100802774.html,"MacBook Pro Unibody 15"" -",1500,15,2.8,4,500,1810.868,310.868
dallas,http://dallas.craigslist.org/ndf/sys/2084788975.html,"Macbook Pro 17""3 .06Ghz processor -",1200,17,3.06,8,500,2265.1726,1065.1726
denver,http://denver.craigslist.org/sys/2147345164.html,"Apple MacBook Pro w/ AppleCare (15"", 4GB, 2.53GHz. 320GB HD) -",1200,15,2.53,4,320,1409.0063,209.0063
denver,http://denver.craigslist.org/sys/2146022854.html,"15"" MacBook Pro - 2.4 GHz Core 2 Duo *with Apple Care Warranty* -",999,15,2.4,4,200,1201.184,202.184
denver,http://denver.craigslist.org/sys/2141947937.html,"MacBook Pro 13"" -",1000,13,2.66,4,250,1420.4686,420.4686
denver,http://denver.craigslist.org/sys/2140124503.html,MacBook Pro 2.33Ghz -,900,15,2.33,2,200,1103.4643,203.4643
denver,http://denver.craigslist.org/sys/2139318280.html,"Apple MacBook Pro 2.4GHz, 2GB RAM, 200GB HDD, Like new -",900,15,2.4,2,200,1187.584,287.584
denver,http://denver.craigslist.org/sys/2138245033.html,"13"" Unibody Macbook Pro w/Apple Care -",800,13,2.26,2,160,887.4846,87.4846
denver,http://denver.craigslist.org/sys/2138084314.html,"PRICE REDUCED - Apple MacBook Pro 15"" -",775,15,2.2,2,160,930.042,155.042
denver,http://denver.craigslist.org/sys/2135395427.html,"13.3"" Macbook Pro - 9.5/10 Condition - 2.4GHz, 4GB RAM, NVIDIA 320M -",950,13,2.4,4,250,1108.024,158.024
denver,http://denver.craigslist.org/sys/2128081703.html,"Apple Macbook Pro 15"" 500GB 3.06GHz 4GB Gloss Screen 2 Year Apple Care -",1500,15,3.06,4,500,2123.3126,623.3126
denver,http://denver.craigslist.org/sys/2103589203.html,"13"" MacBook Pro 2.26GHz 2GB DDR3 -",800,13,2.26,2,160,887.4846,87.4846
denver,http://denver.craigslist.org/sys/2100430290.html,"MacBook Pro 13"" - NIB -",1200,13,2.66,4,250,1420.4686,220.4686
denver,http://denver.craigslist.org/sys/2100447880.html,"MacBook Pro 13"" - NIB -",1200,13,2.66,4,250,1420.4686,220.4686
denver,http://denver.craigslist.org/sys/2100176582.html,13 Inch 2.4 Macbook Pro LED Laptop NVIDIA Core 2 Duo With Warranty -,900,15,2.4,4,250,1222.684,322.684
denver,http://denver.craigslist.org/sys/2097683473.html,"Macbook Pro 17"" 3.06 GHz 8GB of memory -",1200,17,3.06,8,500,2265.1726,1065.1726
denver,http://denver.craigslist.org/sys/2093841807.html,"Apple Macbook Pro 15"" (MB986LL/A) 15.4"" 3.06GHz 2 Year Apple Care -",1700,15,3.06,4,500,2123.3126,423.3126
denver,http://denver.craigslist.org/sys/2091413296.html,"MacBook Pro 13"" - 2.53GHz Core 2 Duo; 4GB RAM; 250GB HDD;  -",1049,13,2.53,4,250,1264.2463,215.2463
detroit,http://detroit.craigslist.org/wyn/sys/2078955629.html,MACBOOK PRO 15 ALUMINUM MINT -,1075,15,2.4,2,260,1213.384,138.384
houston,http://houston.craigslist.org/sys/2141798322.html,for sale Macbook pro 2.53GHZ 4gb Ram 500gb hd -,950,10,2.53,4,500,1199.7563,249.7563
houston,http://houston.craigslist.org/sys/2138618647.html,"15"" Unibody Macbook Pro (Mid-2009) -",1500,15,3.06,4,500,2123.3126,623.3126
houston,http://houston.craigslist.org/sys/2127756273.html,"13"" Macbook Pro, 2.53Ghz**4Gb**500Gb**Final Cut Pro**Pro Tool**CS5 -",1099,10,2.53,4,500,1199.7563,100.7563
houston,http://houston.craigslist.org/sys/2125896296.html,NEW Macbook Pro Unibody 500Gb**Final Cut Pro**Logic Pro**Pro Tool**CS5 -,1099,10,2.53,4,500,1199.7563,100.7563
houston,http://houston.craigslist.org/sys/2120330730.html,"Macbook Pro 15"" Unibody 2.53GHz 250GB HDD 4GB RAM -",1150,13,2.53,4,250,1264.2463,114.2463
