atlanta,http://atlanta.craigslist.org/atl/sys/2128381220.html,MacBook Pro UniBody 3.06GHz 4GB 500GB SuperDrive -,1450,10,3.06,4,500,386.6626
atlanta,http://atlanta.craigslist.org/atl/sys/2127127565.html,BRAND NEW NEVER OPENED APPLE MACBOOK PRO 15 -,1600,15,2.67,4,320,-22.7543
atlanta,http://atlanta.craigslist.org/atl/ele/2126570349.html,15inch Macbook Pro for couple hundred bucks less -,1550,15,2.67,4,320,27.2457
atlanta,http://atlanta.craigslist.org/atl/sys/2125764777.html,"Apple MacBook Pro i7 (MC373LLA) 15.4"" 2.66GHz 500GB 4gb -",1900,15,2.66,4,500,-257.3714
atlanta,http://atlanta.craigslist.org/atl/sys/2125374029.html,Macbook Pro - 2.4 Core 2 Duo 15in -,800,15,2.4,2,160,370.384
atlanta,http://atlanta.craigslist.org/atl/sys/2125238536.html,Wireless Apple MacBook Pro 2.4GHz 4GB 320GB  -,1600,10,2.4,4,320,-633.866
atlanta,http://atlanta.craigslist.org/atl/sys/2125236940.html,MacBook Pro 2.8GHz 4GB 500GB Wireless -,1450,10,2.8,4,500,74.218
atlanta,http://atlanta.craigslist.org/atl/sys/2122797255.html,15 inch macbook pro unibody +++LOADED -,1300,15,2.4,2,250,-90.916
atlanta,http://atlanta.craigslist.org/atl/sys/2119354980.html,MacBook Pro 2.8GHz 4GB 500GB Wireless -,1450,10,2.8,4,500,74.218
atlanta,http://atlanta.craigslist.org/atl/sys/2119351147.html,Wireless Apple MacBook Pro 2.4GHz 4GB 320GB  -,1600,10,2.4,4,320,-633.866
atlanta,http://atlanta.craigslist.org/atl/sys/2119349451.html,MacBook Pro UniBody 3.06GHz 4GB 500GB SuperDrive -,1450,10,3.06,4,500,386.6626
atlanta,http://atlanta.craigslist.org/atl/sys/2118150255.html,MacBook Pro UniBody 3.06GHz 4GB 500GB SuperDrive -,1450,10,3.06,4,500,386.6626
atlanta,http://atlanta.craigslist.org/atl/sys/2118148188.html,Wireless Apple MacBook Pro 2.4GHz 4GB 320GB  -,1600,10,2.4,4,320,-633.866
atlanta,http://atlanta.craigslist.org/atl/sys/2118143484.html,Apple Unibody MacBook Pro 2.4GHz 4GB 320GB -,1700,10,2.4,4,320,-733.866
atlanta,http://atlanta.craigslist.org/atl/sys/2118138968.html,MacBook Pro 2.8GHz 4GB 500GB Wireless -,1450,10,2.8,4,500,74.218
atlanta,http://atlanta.craigslist.org/atl/sys/2117493683.html,"15.4"" MacBook Pro Unibody -",1200,15,2.53,4,320,209.0063
atlanta,http://atlanta.craigslist.org/atl/sys/2117262845.html,15 inch macbook pro unibody ++APPLECARE+LOADED -,1250,15,2.4,4,250,-27.316
atlanta,http://atlanta.craigslist.org/atl/sys/2115869304.html,Never used/Sealed  15 MacBook Pro $1700/OBO -,1700,15,2.67,4,500,-45.3543
atlanta,http://atlanta.craigslist.org/atl/sys/2113929992.html,"17"" MacBook Pro  3.06Ghz  500G 7200RPM -",1200,17,3.06,8,500,1065.1726
atlanta,http://atlanta.craigslist.org/atl/sys/2110444459.html,MacBook Pro UniBody 3.06GHz 4GB 500GB SuperDrive -,1450,10,3.06,4,500,386.6626
atlanta,http://atlanta.craigslist.org/atl/sys/2110440493.html,Wireless Apple MacBook Pro 2.4GHz 4GB 320GB  -,1600,10,2.4,4,320,-633.866
atlanta,http://atlanta.craigslist.org/atl/sys/2110438046.html,Apple Unibody MacBook Pro 2.4GHz 4GB 320GB -,1700,10,2.4,4,320,-733.866
atlanta,http://atlanta.craigslist.org/atl/sys/2110419791.html,MacBook Pro 2.8GHz 4GB 500GB Wireless -,1450,10,2.8,4,500,74.218
atlanta,http://atlanta.craigslist.org/atl/sys/2107486248.html,MacBook Pro 2.8GHz 4GB 500GB Wireless -,1450,10,2.8,4,500,74.218
atlanta,http://atlanta.craigslist.org/atl/sys/2107466725.html,Apple Unibody MacBook Pro 2.4GHz 4GB 320GB -,1700,10,2.4,4,320,-733.866
atlanta,http://atlanta.craigslist.org/atl/sys/2107453492.html,Wireless Apple MacBook Pro 2.4GHz 4GB 320GB  -,1600,10,2.4,4,320,-633.866
atlanta,http://atlanta.craigslist.org/atl/sys/2107439900.html,MacBook Pro UniBody 3.06GHz 4GB 500GB SuperDrive -,1450,10,3.06,4,500,386.6626
atlanta,http://atlanta.craigslist.org/atl/sys/2104430996.html,MacBook Pro Unibody 2.4GHZ 2GB 250GB -,950,13,2.4,2,250,144.424
